Employee_ID,Attrition_rate
EID_22464,0.1576
EID_22759,0.1759
EID_17833,0.1564
EID_17627,0.1517
EID_25730,0.1508
EID_2377,0.1396
EID_18085,0.1343
EID_14096,0.1489
EID_8384,0.151
EID_17105,0.1466
EID_9929,0.1353
EID_13267,0.1495
EID_12954,0.1522
EID_4464,0.1482
EID_11464,0.1594
EID_19308,0.1263
EID_17530,0.1286
EID_6981,0.1354
EID_19951,0.1591
EID_1100,0.1689
EID_25145,0.1384
EID_15614,0.1206
EID_2961,0.1477
EID_1742,0.1448
EID_2843,0.1407
EID_9549,0.1491
EID_12832,0.134
EID_17914,0.1702
EID_22832,0.1647
EID_5755,0.1334
EID_1141,0.154
EID_18954,0.1636
EID_10824,0.1043
EID_24478,0.1353
EID_14916,0.1427
EID_4434,0.1223
EID_23650,0.1526
EID_16556,0.1342
EID_24656,0.1369
EID_25965,0.1554
EID_9279,0.1401
EID_13802,0.1448
EID_2748,0.1546
EID_17346,0.147
EID_1171,0.1345
EID_1552,0.1323
EID_20674,0.1328
EID_2475,0.143
EID_16714,0.1457
EID_7857,0.1469
EID_3294,0.1475
EID_2280,0.1479
EID_10203,0.1291
EID_22162,0.1488
EID_10438,0.1316
EID_12898,0.1467
EID_4358,0.1364
EID_6179,0.1483
EID_2538,0.1311
EID_13110,0.1428
EID_24585,0.1757
EID_1006,0.1477
EID_11632,0.157
EID_21011,0.1522
EID_16869,0.1417
EID_20564,0.1348
EID_12996,0.1495
EID_1503,0.1594
EID_23053,0.1413
EID_22049,0.1457
EID_4346,0.1591
EID_1887,0.1473
EID_16849,0.1387
EID_10071,0.1492
EID_11265,0.1456
EID_12611,0.1446
EID_25542,0.1512
EID_11582,0.1641
EID_19550,0.1364
EID_5351,0.1612
EID_3305,0.1371
EID_18846,0.1687
EID_24764,0.1325
EID_2191,0.1449
EID_6314,0.1325
EID_23248,0.1184
EID_4570,0.1614
EID_16415,0.1365
EID_11002,0.161
EID_20498,0.1347
EID_7846,0.1519
EID_24121,0.1441
EID_7536,0.1368
EID_2015,0.1506
EID_7934,0.143
EID_20903,0.1408
EID_17535,0.1579
EID_19760,0.1368
EID_9550,0.1509
EID_4261,0.1404
EID_19753,0.1485
EID_13542,0.147
EID_24283,0.1452
EID_7552,0.1494
EID_11577,0.1334
EID_3228,0.1396
EID_17468,0.1504
EID_15815,0.1616
EID_2093,0.1586
EID_21356,0.1391
EID_12357,0.155
EID_18495,0.1335
EID_5098,0.1353
EID_12691,0.1282
EID_13240,0.1499
EID_19312,0.1388
EID_23914,0.1467
EID_23175,0.1409
EID_15413,0.1403
EID_4785,0.1449
EID_25933,0.1371
EID_22705,0.1302
EID_19350,0.1295
EID_5369,0.1499
EID_20410,0.1272
EID_12557,0.1648
EID_17678,0.1441
EID_1342,0.1275
EID_12230,0.1652
EID_1311,0.1466
EID_5860,0.1687
EID_4259,0.1459
EID_10209,0.153
EID_2300,0.1355
EID_17408,0.1346
EID_1883,0.1452
EID_1053,0.1616
EID_23610,0.1544
EID_17585,0.1322
EID_20845,0.1497
EID_15683,0.1332
EID_11976,0.1698
EID_12031,0.1481
EID_1711,0.141
EID_6239,0.147
EID_25541,0.1273
EID_9308,0.1353
EID_18168,0.1344
EID_11934,0.1489
EID_23472,0.1552
EID_13731,0.1281
EID_16069,0.1384
EID_18276,0.134
EID_6141,0.1311
EID_12061,0.1377
EID_9450,0.18
EID_21730,0.1289
EID_19506,0.1516
EID_13552,0.1494
EID_9945,0.135
EID_1924,0.1368
EID_18453,0.1438
EID_20225,0.1673
EID_18673,0.1595
EID_11420,0.1613
EID_16631,0.1568
EID_21237,0.1306
EID_5015,0.1335
EID_20179,0.1356
EID_12073,0.1556
EID_21147,0.1422
EID_6714,0.1462
EID_10645,0.1551
EID_18298,0.1617
EID_2640,0.1477
EID_2318,0.1485
EID_25226,0.1626
EID_24099,0.1426
EID_20938,0.1571
EID_8377,0.1549
EID_7023,0.1561
EID_11385,0.1524
EID_15016,0.1475
EID_25794,0.14
EID_11494,0.1481
EID_2425,0.1404
EID_9847,0.1651
EID_3570,0.1285
EID_13573,0.1361
EID_13780,0.1087
EID_2949,0.142
EID_19834,0.1425
EID_11384,0.1552
EID_23154,0.1515
EID_9337,0.1437
EID_3653,0.1439
EID_4850,0.1573
EID_16283,0.1627
EID_5107,0.1429
EID_25156,0.1414
EID_17223,0.1405
EID_14695,0.1523
EID_11374,0.1341
EID_13672,0.1312
EID_6782,0.1558
EID_25074,0.1535
EID_21087,0.1552
EID_13017,0.1502
EID_9947,0.1838
EID_21221,0.1277
EID_21639,0.1417
EID_20333,0.1568
EID_2970,0.1565
EID_7624,0.146
EID_15741,0.1676
EID_1312,0.1475
EID_19575,0.1511
EID_21047,0.1525
EID_11969,0.1599
EID_19145,0.1638
EID_9871,0.1445
EID_18852,0.1375
EID_22326,0.1305
EID_7259,0.1547
EID_21920,0.1709
EID_1436,0.1431
EID_8261,0.1285
EID_23228,0.1567
EID_5560,0.1248
EID_22357,0.1671
EID_4816,0.1457
EID_10000,0.122
EID_21908,0.1361
EID_14887,0.1521
EID_12497,0.1457
EID_17976,0.1404
EID_17356,0.1481
EID_9785,0.1145
EID_16224,0.1589
EID_6020,0.1423
EID_20716,0.1499
EID_11351,0.1456
EID_20899,0.1521
EID_9718,0.141
EID_9479,0.1596
EID_25048,0.1436
EID_23370,0.1298
EID_13877,0.164
EID_12256,0.1448
EID_1903,0.1424
EID_8830,0.1343
EID_22060,0.1547
EID_11996,0.1218
EID_21061,0.1277
EID_22604,0.1489
EID_18463,0.1282
EID_11375,0.1356
EID_2685,0.1411
EID_16010,0.152
EID_19288,0.1304
EID_9283,0.1508
EID_11122,0.1366
EID_6638,0.1461
EID_25516,0.1435
EID_3864,0.1583
EID_9746,0.1443
EID_8407,0.1453
EID_25463,0.1463
EID_23098,0.1507
EID_22512,0.1205
EID_14671,0.1333
EID_18482,0.1384
EID_8151,0.1505
EID_16624,0.1521
EID_1983,0.1671
EID_18445,0.1431
EID_11891,0.1385
EID_2010,0.1462
EID_4592,0.1746
EID_17412,0.1525
EID_24883,0.1605
EID_15661,0.1499
EID_11757,0.1656
EID_2627,0.1108
EID_13243,0.1302
EID_10917,0.1445
EID_4360,0.143
EID_13536,0.136
EID_10695,0.1642
EID_5746,0.1437
EID_1178,0.1224
EID_15290,0.1513
EID_3540,0.1294
EID_14684,0.1444
EID_7914,0.1495
EID_23733,0.1548
EID_5907,0.1493
EID_5142,0.1376
EID_7686,0.1475
EID_12078,0.1611
EID_4880,0.1408
EID_1527,0.1413
EID_15919,0.1596
EID_1260,0.1454
EID_22377,0.1275
EID_7876,0.1395
EID_1213,0.1447
EID_4161,0.1652
EID_3214,0.1502
EID_17651,0.1483
EID_8005,0.1321
EID_12852,0.1511
EID_21465,0.1562
EID_7371,0.1567
EID_25687,0.1452
EID_17222,0.139
EID_1994,0.1339
EID_22384,0.1627
EID_6344,0.1616
EID_18801,0.1621
EID_13688,0.1557
EID_13779,0.1278
EID_24969,0.1419
EID_15311,0.1529
EID_9095,0.1516
EID_11675,0.1268
EID_14870,0.1472
EID_1575,0.1503
EID_7440,0.1301
EID_24259,0.1517
EID_19501,0.157
EID_23743,0.1217
EID_13287,0.1455
EID_2226,0.1213
EID_22439,0.1419
EID_16078,0.1484
EID_18895,0.1364
EID_19860,0.1426
EID_24564,0.1531
EID_21747,0.1523
EID_4659,0.1324
EID_24149,0.1472
EID_13300,0.1477
EID_16950,0.1304
EID_23778,0.1597
EID_14691,0.1334
EID_10789,0.1469
EID_5525,0.1521
EID_19424,0.153
EID_6171,0.1426
EID_19569,0.1471
EID_4602,0.1419
EID_17919,0.1592
EID_4286,0.1299
EID_1973,0.1549
EID_25715,0.1413
EID_23385,0.1347
EID_13681,0.1626
EID_25410,0.1481
EID_18267,0.1526
EID_15252,0.1358
EID_23214,0.1503
EID_18551,0.1569
EID_2401,0.1425
EID_7609,0.1516
EID_21291,0.1476
EID_10126,0.1221
EID_19714,0.13
EID_4911,0.1229
EID_12505,0.144
EID_10377,0.1566
EID_3407,0.1299
EID_3386,0.1402
EID_7623,0.1611
EID_19517,0.1486
EID_21782,0.1575
EID_12361,0.1296
EID_21171,0.1383
EID_17836,0.1552
EID_20286,0.1489
EID_25798,0.1304
EID_15699,0.1421
EID_17006,0.1371
EID_22476,0.1621
EID_9406,0.1346
EID_13559,0.1552
EID_1340,0.1397
EID_17848,0.153
EID_20358,0.1514
EID_14265,0.1435
EID_9820,0.1477
EID_13755,0.136
EID_13293,0.1574
EID_25837,0.1451
EID_20466,0.144
EID_11032,0.1406
EID_2399,0.1579
EID_23917,0.1625
EID_17011,0.1512
EID_8967,0.1367
EID_24468,0.1628
EID_8435,0.1348
EID_17953,0.1339
EID_7140,0.1379
EID_24404,0.1343
EID_14380,0.1846
EID_1232,0.1523
EID_1573,0.1234
EID_3684,0.1508
EID_15824,0.1372
EID_9212,0.1715
EID_21121,0.1398
EID_6346,0.1235
EID_9525,0.1536
EID_9726,0.1682
EID_2526,0.1472
EID_4228,0.1404
EID_14595,0.1535
EID_15856,0.1746
EID_6768,0.1433
EID_23953,0.152
EID_19059,0.1385
EID_5268,0.1455
EID_7619,0.1279
EID_23028,0.1533
EID_22104,0.1835
EID_10318,0.1577
EID_25369,0.1363
EID_16633,0.1395
EID_15848,0.1315
EID_2240,0.1611
EID_1059,0.1417
EID_9315,0.1392
EID_15388,0.1247
EID_9984,0.1407
EID_4296,0.1372
EID_10927,0.1389
EID_25054,0.1452
EID_1884,0.1432
EID_21960,0.1463
EID_5572,0.149
EID_16872,0.1515
EID_24525,0.1501
EID_14237,0.1162
EID_7114,0.137
EID_7448,0.1631
EID_17668,0.1264
EID_7674,0.1663
EID_5884,0.1358
EID_13942,0.1353
EID_13098,0.1345
EID_7695,0.1566
EID_5350,0.1393
EID_22853,0.1288
EID_2385,0.1656
EID_18006,0.1418
EID_12875,0.1523
EID_5478,0.1534
EID_18690,0.1349
EID_12545,0.1722
EID_13888,0.142
EID_9732,0.1696
EID_18001,0.1558
EID_17479,0.1337
EID_23757,0.1486
EID_1303,0.1701
EID_5375,0.1329
EID_5869,0.1219
EID_8825,0.1586
EID_22567,0.1497
EID_16273,0.1519
EID_20618,0.148
EID_3608,0.1529
EID_8806,0.1465
EID_23170,0.1483
EID_12243,0.1496
EID_20089,0.1596
EID_16852,0.1364
EID_18312,0.1351
EID_14010,0.1425
EID_14705,0.1476
EID_20956,0.1419
EID_18794,0.159
EID_1629,0.1634
EID_25483,0.1525
EID_4542,0.1503
EID_10076,0.1413
EID_9469,0.1471
EID_25284,0.1488
EID_11972,0.1448
EID_1798,0.1375
EID_21903,0.1374
EID_20031,0.1633
EID_20365,0.1472
EID_9210,0.1466
EID_19750,0.1461
EID_4006,0.1324
EID_24922,0.1392
EID_4760,0.1364
EID_11035,0.1519
EID_21008,0.1494
EID_23731,0.1231
EID_21788,0.1292
EID_5428,0.1338
EID_14023,0.1431
EID_2937,0.145
EID_16931,0.1536
EID_18299,0.1616
EID_6660,0.1585
EID_23187,0.1619
EID_14868,0.1462
EID_23247,0.1361
EID_15971,0.1321
EID_7852,0.1546
EID_7017,0.1438
EID_7494,0.1366
EID_18706,0.1364
EID_22784,0.1496
EID_10756,0.1606
EID_6854,0.159
EID_12554,0.1656
EID_1162,0.1432
EID_19581,0.1375
EID_2169,0.1362
EID_25149,0.1231
EID_22575,0.1338
EID_2265,0.1246
EID_19668,0.1329
EID_19245,0.1439
EID_8194,0.1319
EID_8081,0.1585
EID_8670,0.1435
EID_7992,0.1448
EID_6596,0.1327
EID_3699,0.1672
EID_9698,0.1608
EID_1847,0.1434
EID_16179,0.1251
EID_23663,0.1402
EID_24287,0.1416
EID_3527,0.14
EID_18652,0.1603
EID_24110,0.1747
EID_21419,0.1683
EID_12865,0.1427
EID_9237,0.1484
EID_20408,0.1386
EID_22934,0.1562
EID_6492,0.1396
EID_20285,0.1601
EID_1286,0.1484
EID_12542,0.1509
EID_5523,0.1418
EID_1979,0.159
EID_23146,0.1577
EID_4773,0.1377
EID_8785,0.1565
EID_4463,0.1371
EID_24028,0.141
EID_20920,0.1427
EID_21392,0.175
EID_4079,0.1395
EID_5173,0.1385
EID_22915,0.1451
EID_18347,0.1519
EID_7984,0.1342
EID_25148,0.1571
EID_4350,0.1635
EID_6909,0.1543
EID_10582,0.1533
EID_6248,0.154
EID_10035,0.1444
EID_24603,0.1664
EID_1794,0.1359
EID_9407,0.1594
EID_2114,0.1482
EID_21125,0.151
EID_15046,0.142
EID_8058,0.1437
EID_1961,0.1252
EID_23324,0.139
EID_21521,0.1659
EID_11043,0.1617
EID_6461,0.1403
EID_10398,0.1472
EID_20635,0.1488
EID_22940,0.1533
EID_8582,0.1106
EID_12770,0.1499
EID_15982,0.1392
EID_19692,0.1558
EID_18304,0.1449
EID_13603,0.1552
EID_6145,0.1641
EID_16587,0.1526
EID_16835,0.1507
EID_8399,0.1448
EID_7012,0.1403
EID_20575,0.1433
EID_20747,0.1357
EID_3907,0.1446
EID_22626,0.1313
EID_4442,0.1534
EID_18034,0.1509
EID_16055,0.1372
EID_21684,0.1306
EID_17499,0.1569
EID_1222,0.1287
EID_17204,0.1502
EID_22732,0.1512
EID_8539,0.1443
EID_23136,0.1518
EID_24470,0.1847
EID_17404,0.1413
EID_21498,0.1546
EID_19495,0.1466
EID_23966,0.1444
EID_1388,0.1398
EID_7374,0.152
EID_25441,0.1665
EID_16616,0.1514
EID_7654,0.1375
EID_4217,0.1237
EID_9968,0.141
EID_17830,0.1288
EID_12023,0.1423
EID_24002,0.1184
EID_11371,0.1508
EID_11096,0.1402
EID_24835,0.1682
EID_17439,0.1499
EID_6587,0.1564
EID_21946,0.1444
EID_5431,0.1509
EID_4723,0.1317
EID_11535,0.1572
EID_2330,0.1376
EID_23531,0.1365
EID_8913,0.1518
EID_21273,0.1555
EID_11927,0.1358
EID_1385,0.1466
EID_15758,0.1484
EID_1023,0.1235
EID_8959,0.1458
EID_12911,0.1614
EID_15925,0.1487
EID_17769,0.1589
EID_19842,0.129
EID_15875,0.1277
EID_21284,0.1513
EID_24825,0.1557
EID_23825,0.1439
EID_13001,0.1301
EID_25601,0.1454
EID_24670,0.1513
EID_24412,0.1478
EID_18712,0.1386
EID_21138,0.1485
EID_19335,0.1373
EID_16753,0.1441
EID_24399,0.1677
EID_12567,0.1535
EID_22161,0.1185
EID_12609,0.1422
EID_22249,0.1244
EID_5314,0.1289
EID_1897,0.1344
EID_22507,0.1313
EID_2878,0.1368
EID_10098,0.1375
EID_18435,0.1554
EID_8063,0.1313
EID_3512,0.1469
EID_24444,0.1395
EID_9813,0.1455
EID_25132,0.1278
EID_5613,0.1401
EID_14062,0.1419
EID_20073,0.1326
EID_12506,0.141
EID_1092,0.1697
EID_15895,0.1437
EID_1039,0.1446
EID_22016,0.1752
EID_6764,0.1426
EID_17384,0.1518
EID_8705,0.1521
EID_14832,0.1302
EID_16473,0.1162
EID_11186,0.132
EID_7476,0.1306
EID_19671,0.1486
EID_14001,0.1331
EID_10658,0.1379
EID_6668,0.1407
EID_13786,0.1404
EID_11224,0.1384
EID_13296,0.147
EID_22145,0.1512
EID_6494,0.1577
EID_1649,0.1306
EID_20878,0.1496
EID_3790,0.1497
EID_9257,0.1516
EID_14917,0.1413
EID_22052,0.1594
EID_1198,0.1252
EID_8478,0.1321
EID_2071,0.1549
EID_1250,0.1276
EID_9000,0.1446
EID_17319,0.1284
EID_21794,0.1661
EID_23350,0.1489
EID_16278,0.1408
EID_3330,0.1237
EID_12584,0.1556
EID_9354,0.1694
EID_15007,0.1424
EID_11656,0.1379
EID_22526,0.1287
EID_11027,0.1425
EID_21588,0.131
EID_13717,0.1568
EID_8073,0.1399
EID_15972,0.1298
EID_5730,0.1469
EID_23968,0.1312
EID_4299,0.1506
EID_6302,0.1452
EID_6974,0.1382
EID_4829,0.1505
EID_21139,0.1403
EID_23456,0.1392
EID_20110,0.1218
EID_20342,0.1321
EID_15238,0.1403
EID_10349,0.1266
EID_10077,0.1483
EID_22330,0.1613
EID_4368,0.1417
EID_8859,0.1312
EID_24277,0.1347
EID_1061,0.1468
EID_5597,0.1508
EID_4820,0.1366
EID_5863,0.1357
EID_23680,0.1367
EID_5542,0.1197
EID_6203,0.1211
EID_5355,0.1431
EID_19669,0.1647
EID_21725,0.1492
EID_2138,0.142
EID_24278,0.125
EID_6591,0.1431
EID_21056,0.1251
EID_18759,0.1783
EID_12059,0.1536
EID_11077,0.1415
EID_17216,0.1466
EID_15655,0.1605
EID_19017,0.1545
EID_17846,0.1495
EID_6418,0.1414
EID_25942,0.14
EID_5420,0.1636
EID_11764,0.1466
EID_16483,0.1374
EID_1901,0.1241
EID_21480,0.1576
EID_8006,0.1447
EID_1282,0.1431
EID_6895,0.153
EID_13677,0.1473
EID_6071,0.135
EID_14425,0.1442
EID_22685,0.1442
EID_20203,0.1558
EID_19161,0.1433
EID_1947,0.1493
EID_16574,0.1451
EID_2561,0.1447
EID_20668,0.141
EID_7831,0.1587
EID_8769,0.138
EID_25191,0.1445
EID_15590,0.1517
EID_12458,0.1722
EID_11406,0.1579
EID_17629,0.1323
EID_4632,0.136
EID_18455,0.1396
EID_23077,0.1423
EID_25024,0.1439
EID_6269,0.1444
EID_12100,0.1516
EID_23190,0.1536
EID_9030,0.142
EID_12359,0.139
EID_12041,0.1552
EID_2019,0.1549
EID_22974,0.1527
EID_10351,0.1471
EID_23630,0.1674
EID_7309,0.1495
EID_19821,0.1559
EID_4033,0.1369
EID_3435,0.1599
EID_5759,0.1427
EID_12826,0.1407
EID_8148,0.1486
EID_16088,0.1183
EID_15783,0.1297
EID_19521,0.1426
EID_13016,0.1249
EID_13708,0.1548
EID_4237,0.1661
EID_3620,0.1304
EID_10042,0.1444
EID_8833,0.1361
EID_21028,0.141
EID_3485,0.1373
EID_23372,0.1638
EID_19410,0.1608
EID_6598,0.1584
EID_25371,0.1485
EID_19483,0.1277
EID_22826,0.1196
EID_23606,0.139
EID_9346,0.1363
EID_1608,0.147
EID_1603,0.1659
EID_23041,0.1531
EID_7801,0.1443
EID_22456,0.1437
EID_24428,0.1328
EID_10811,0.1314
EID_24566,0.1471
EID_2531,0.1401
EID_10878,0.1484
EID_19548,0.1257
EID_11988,0.1469
EID_11378,0.1535
EID_9896,0.1559
EID_17323,0.1591
EID_24976,0.1456
EID_11249,0.1341
EID_20395,0.1143
EID_18262,0.116
EID_14670,0.1654
EID_12880,0.1413
EID_1406,0.1448
EID_23014,0.153
EID_5224,0.1585
EID_3232,0.1359
EID_22327,0.139
EID_2285,0.1516
EID_20468,0.1672
EID_4443,0.1471
EID_15641,0.132
EID_8106,0.141
EID_13958,0.147
EID_10214,0.1397
EID_17739,0.1435
EID_13347,0.1313
EID_23453,0.1363
EID_1477,0.1511
EID_20224,0.1178
EID_2362,0.1388
EID_21421,0.1648
EID_7860,0.1784
EID_10286,0.1257
EID_7184,0.1375
EID_21742,0.1357
EID_21610,0.137
EID_19375,0.1315
EID_18564,0.1555
EID_19108,0.1539
EID_17928,0.1299
EID_25613,0.1426
EID_23787,0.1498
EID_2392,0.1491
EID_7574,0.1571
EID_9810,0.1322
EID_14332,0.1591
EID_20937,0.1346
EID_7827,0.1531
EID_7457,0.1591
EID_11152,0.15
EID_12917,0.1329
EID_18590,0.1451
EID_15327,0.1552
EID_11687,0.1629
EID_5179,0.1314
EID_5623,0.1581
EID_25331,0.1411
EID_24386,0.1529
EID_6507,0.1671
EID_7842,0.1568
EID_12018,0.145
EID_6640,0.1643
EID_9872,0.1646
EID_2331,0.1804
EID_19685,0.1501
EID_25701,0.1889
EID_25681,0.1683
EID_20151,0.151
EID_8980,0.1529
EID_12719,0.1485
EID_20075,0.1394
EID_14984,0.1519
EID_8177,0.1466
EID_1360,0.1423
EID_24812,0.1407
EID_8480,0.1568
EID_14567,0.16
EID_16194,0.1534
EID_10020,0.1543
EID_7321,0.136
EID_15387,0.1497
EID_19419,0.1582
EID_20496,0.1506
EID_1308,0.1481
EID_14770,0.1441
EID_21893,0.1434
EID_10990,0.1574
EID_17521,0.1512
EID_15274,0.147
EID_24001,0.1405
EID_4111,0.1416
EID_4284,0.1519
EID_19682,0.1387
EID_14871,0.158
EID_18152,0.1429
EID_12520,0.1368
EID_4739,0.1068
EID_8424,0.1454
EID_23600,0.1436
EID_25891,0.1666
EID_11618,0.1703
EID_12674,0.1549
EID_5999,0.1437
EID_18063,0.1315
EID_14859,0.1524
EID_20353,0.1474
EID_22962,0.1512
EID_19650,0.1402
EID_6108,0.1582
EID_19012,0.1543
EID_22925,0.1464
EID_15619,0.1543
EID_19998,0.1593
EID_20052,0.1663
EID_25044,0.134
EID_5422,0.1427
EID_15354,0.1564
EID_3804,0.139
EID_23277,0.1213
EID_12336,0.1587
EID_24839,0.1374
EID_1651,0.1397
EID_24355,0.1467
EID_24276,0.1711
EID_10346,0.1342
EID_9579,0.1409
EID_23242,0.1273
EID_23541,0.1411
EID_14741,0.1324
EID_7783,0.1385
EID_12569,0.1487
EID_3834,0.1632
EID_6799,0.1562
EID_15609,0.163
EID_5496,0.1569
EID_5080,0.152
EID_14834,0.1697
EID_18266,0.1604
EID_1182,0.118
EID_6445,0.1457
EID_18656,0.1443
EID_24011,0.1588
EID_25093,0.1464
EID_11334,0.1232
EID_15785,0.143
EID_8060,0.1342
EID_4349,0.1434
EID_22525,0.1363
EID_1231,0.144
EID_2127,0.1377
EID_4047,0.1324
EID_12989,0.1543
EID_17726,0.1718
EID_1602,0.14
EID_5945,0.128
EID_15166,0.1442
EID_25317,0.1199
EID_18848,0.1323
EID_14455,0.1472
EID_9724,0.168
EID_22697,0.1428
EID_16505,0.1349
EID_11616,0.1405
EID_10352,0.1576
EID_24093,0.139
EID_11826,0.1438
